Lake,species,d15N,TL,For_area,Agr_area,pH,POM_NC_ratio,PC1,PC2,d2H
Alajarvi,Asellus_littoral,5.06341835068508,1.89086442706079,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-129.296931101632
Alajarvi,Asellus_littoral,6.48554024667169,2.30913557293921,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-156.3600400552
Alajarvi,Bleak,9.704942,2.92472621411765,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-158.007832107086
Alajarvi,Bleak,10.2962,3.09862562588235,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-179.900900120529
Alajarvi,Bleak,10.52271,3.16524621411765,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-162.520117846217
Alajarvi,Bleak,9.764363,2.94220297882353,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-161.346192546752
Alajarvi,Bulk_BMI_littoral,6.77833897641284,2.39525284639249,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-145.216825636516
Alajarvi,Bulk_BMI_littoral,7.04669623659572,2.47418145232863,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-162.145624842818
Alajarvi,Bulk_BMI_profundal,6.90448847270395,2.10106341197175,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-136.084741891395
Alajarvi,Bulk_ZPL,7.869405738,2.38486260764706,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-149.256756639175
Alajarvi,Bulk_ZPL,6.349933396,1.93795897764706,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-130.822610165867
Alajarvi,Chironomid_littoral,6.3319836643016,2.26397187224212,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-178.870863033059
Alajarvi,Chironomid_littoral,6.44357606468135,2.29679316647146,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-167.847452464782
Alajarvi,Chironomid_Profundal,5.91711063485433,1.81065816554539,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-147.323079900487
Alajarvi,Cladocera,7.238793489,2.19938841676471,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-151.134188258354
Alajarvi,Cladocera,6.562952255,2.00061158323529,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-141.113616854835
Alajarvi,Perch_large,12.59194,3.77384327294118,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-156.230506736
Alajarvi,Perch_large,12.34007,3.69976386117647,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-160.817679499574
Alajarvi,Perch_medium,12.39381,3.71556974352941,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-161.502491497005
Alajarvi,Perch_medium,11.94168,3.58259033176471,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-159.813848189822
Alajarvi,Perch_medium,12.18346,3.65370209647059,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-152.046275777566
Alajarvi,Perch_medium,11.70577,3.51320503764706,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-160.1532073436
Alajarvi,Perch_medium,11.72694,3.51943150823529,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-163.603456642766
Alajarvi,Perch_medium,12.19571,3.65730503764706,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-158.931683234345
Alajarvi,Perch_medium,12.06183,3.61792856705882,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-163.60656230954
Alajarvi,Perch_small,11.43411,3.43330503764706,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-155.807281542583
Alajarvi,Perch_small,11.36538,3.41309033176471,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-169.135711795616
Alajarvi,Perch_small,11.525,3.46003739058824,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-163.492962844379
Alajarvi,Perch_small,11.62826,3.49040797882353,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-168.117758861295
Alajarvi,Perch_small,11.97671,3.59289327294118,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-168.265411077332
Alajarvi,Roach_large,11.29597,3.39267562588235,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-146.470613038367
Alajarvi,Roach_large,10.97182,3.29733739058824,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-158.570220044715
Alajarvi,Roach_large,10.90294,3.27707856705882,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-161.575640756536
Alajarvi,Roach_large,11.06541,3.32486386117647,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-155.840714485342
Alajarvi,Roach_large,11.5528,3.46821386117647,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-167.777915902949
Alajarvi,Roach_small,10.75651,3.23401092,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-169.353152664064
Alajarvi,Roach_small,9.871384,2.97367974352941,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-178.794022051733
Alajarvi,Roach_small,10.4669,3.14883150823529,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-159.273014945046
Alajarvi,Roach_small,10.50218,3.15920797882353,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-175.586739985667
Alajarvi,Roach_small,10.22743,3.07839915529412,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-164.253219520754
Alajarvi,Ruffe,11.59442,3.48045503764706,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-160.634204369901
Alajarvi,Ruffe,12.35114,3.70301974352941,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-154.187446950342
Alajarvi,Ruffe,11.93909,3.58182856705882,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-159.794101558837
Alajarvi,Ruffe,11.97264,3.59169621411765,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-154.228755978966
Alajarvi,Ruffe,12.1474,3.64309621411765,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-163.983328541771
Alajarvi,Vendace,11.98851,3.59636386117647,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-155.852036849586
Alajarvi,Vendace,11.85015,3.55566974352941,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-151.205619781956
Alajarvi,Vendace,11.9562,3.58686092,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-152.616028392293
Alajarvi,Vendace,12.17381,3.65086386117647,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-158.880493177903
Alajarvi,Vendace,12.1485,3.64341974352941,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-158.363052983206
Alanne,Asellus_littoral,1.84783652140135,2.0873741556748,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-171.431108571107
Alanne,Asellus_littoral,1.93369226281269,2.1126258443252,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-155.278740260252
Alanne,Bleak,6.533725,3.71605233588235,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-134.291864145058
Alanne,Bleak,7.017983,3.85848115941176,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-133.383001968195
Alanne,Bleak,6.015425,3.56361115941176,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-137.108164834685
Alanne,Bleak,6.246694,3.63163145352941,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-121.727045889741
Alanne,Bleak,6.248374,3.63212557117647,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-122.911910280672
Alanne,Bulk_BMI_littoral,3.00728324170123,2.42838789693947,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-175.674087990398
Alanne,Bulk_BMI_littoral,1.91895555935093,2.10829151977762,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-168.014477139386
Alanne,Bulk_BMI_profundal,5.28877406092422,3.34989029497771,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-122.280486963113
Alanne,Bulk_ZPL,1.198727631,2.14693546264706,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-143.154827819984
Alanne,Chaoborus,4.936693169,3.24633709147059,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-128.918966607763
Alanne,Chironomid_Profundal,4.49228405331305,3.11562852803325,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-110.652774539676
Alanne,Cladocera,1.039147058,2.1,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-137.359389032382
Alanne,Copepods,3.235572222,2.74600740117647,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-156.550035703629
Alanne,Perch_large,9.970905,4.72698763,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-114.141105985459
Alanne,Perch_large,7.81795178913344,4.09376609739219,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-122.505499308463
Alanne,Perch_large,8.40686069325786,4.26697459860525,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-124.469558166374
Alanne,Perch_large,8.6443470405236,4.33682352427165,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-121.739559867771
Alanne,Perch_large,8.43298915851318,4.2746594413274,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-124.48292984703
Alanne,Perch_medium,7.304755,3.94282586529412,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-122.69527645949
Alanne,Perch_medium,6.630027,3.74437645352941,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-129.766109846437
Alanne,Perch_medium,7.845311,4.10181292411765,82.03322677,0.460973313,5.45,0.0583670170723302,-3.24914022395892,-1.02090811026645,-123.90640035858
